"","x"
"790",15
"791",7
"792",1
"793",12
"794",3
"795",9
"796",7
"797",15
"798",8
"799",11
"800",15
"801",6
"802",1
"803",9
"804",9
"805",8
"806",14
"807",11
"808",9
"809",15
"810",9
"811",12
"812",6
"813",4
"814",6
"815",9
"816",9
"817",7
"818",9
"819",14
"820",6
"821",15
"822",15
"823",6
"824",9
"825",15
"826",8
"827",2
"828",12
"829",4
"830",10
"831",13
"832",8
"833",9
"834",3
"835",8
"836",1
"837",10
"838",4
"839",11
"840",15
"841",4
"842",2
"843",11
"844",11
"845",15
"846",8
"847",4
"848",13
"849",15
"850",2
"851",8
"852",10
"853",9
"854",3
"855",8
"856",7
"857",15
"858",15
"859",15
"860",15
"861",15
"862",4
"863",4
"864",1
"865",15
"866",11
"867",15
"868",9
"869",15
"870",1
"871",13
"872",12
"873",2
"874",9
"875",7
"876",2
"877",12
"878",11
"879",7
"880",2
"881",15
"882",4
"883",4
"884",9
"885",9
"886",13
"887",11
"888",12
"889",7
"890",13
"891",7
"892",7
"893",12
"894",4
"895",6
"896",4
"897",13
"898",4
"899",2
"900",1
"901",11
"902",7
"903",6
"904",10
"905",13
"906",1
"907",13
"908",4
"909",4
"910",1
"911",14
"912",15
"913",9
"914",1
"915",15
"916",3
"917",15
"918",12
"919",9
"920",14
"921",9
"922",9
"923",1
"924",13
"925",4
"926",11
"927",4
"928",8
"929",8
"930",12
"931",1
"932",4
"933",12
"934",6
"935",8
"936",6
"937",12
"938",4
"939",15
"940",4
"941",2
"942",13
"943",13
"944",15
"945",15
"946",15
"947",11
"948",3
"949",15
"950",3
"951",3
"952",1
"953",1
"954",3
"955",15
"956",12
"957",9
"958",7
"959",11
"960",15
"961",8
"962",3
"963",14
"964",1
"965",9
"966",9
"967",14
"968",7
"969",15
"970",11
"971",11
"972",12
"973",8
"974",15
"975",1
"976",9
"977",14
"978",9
"979",9
"980",13
"981",8
"982",14
"983",14
"984",14
"985",1
"986",9
"987",15
"988",1
"989",11
"990",15
"991",13
"992",4
"993",14
"994",4
"995",8
"996",9
"997",11
"998",8
"999",9
"1000",1
"1001",9
"1002",1
"1003",4
"1004",9
"1005",6
"1006",13
"1007",9
"1008",13
"1009",15
"1010",9
"1011",13
"1012",14
"1013",1
"1014",1
"1015",13
"1016",12
"1017",14
"1018",8
"1019",15
"1020",4
"1021",11
"1022",7
"1023",9
"1024",6
"1025",6
"1026",15
"1027",15
"1028",1
"1029",1
"1030",2
"1031",7
"1032",7
"1033",15
"1034",4
"1035",15
"1036",10
"1037",1
"1038",9
"1039",13
"1040",11
"1041",9
"1042",15
"1043",7
"1044",15
"1045",2
"1046",13
"1047",15
"1048",13
"1049",11
"1050",14
"1051",8
"1052",1
"1053",14
"1054",15
"1055",7
"1056",15
"1057",7
"1058",1
"1059",15
"1060",11
"1061",12
"1062",4
"1063",15
"1064",10
"1065",1
"1066",1
"1067",7
"1068",15
"1069",9
"1070",11
"1071",1
"1072",15
"1073",7
"1074",15
"1075",15
"1076",15
"1077",7
"1078",10
"1079",15
"1080",9
"1081",13
"1082",3
"1083",14
"1084",12
"1085",7
"1086",1
"1087",1
"1088",9
"1089",12
"1090",1
"1091",8
"1092",11
"1093",9
"1094",9
