"","prob1","prob2","prob3","label"
"3233",1.48584992664991e-40,3.73606341443295e-12,0.999999999996264,3
"3234",8.49351542261104e-34,4.77236750238627e-09,0.999999995227632,3
"3235",3.39761677294777e-27,6.28431848103220e-09,0.999999993715681,3
"3236",1.32890570981722e-36,5.29544085124803e-12,0.999999999994705,3
"3237",0.999992734267429,7.2657325706549e-06,1.42605270747894e-27,1
"3238",3.05635537463491e-12,0.868989768583689,0.131010231413255,2
"3239",2.64110198347907e-78,6.48894379406138e-15,0.999999999999994,3
"3240",4.38635541567662e-10,0.999758885780829,0.000241113780535862,2
"3241",3.27084823602386e-35,5.02593078679711e-08,0.999999949740692,3
"3242",1.7481280956344e-07,0.999990479942619,9.34524457110665e-06,2
"3243",3.25328739834166e-18,1.42594831715382e-05,0.999985740516828,3
"3244",9.98218339019914e-26,2.13584901027327e-08,0.99999997864151,3
"3245",0.960182061376907,0.0398179386230926,3.75771729569694e-16,1
