"","x"
"202",12
"203",6
"204",6
"205",6
"206",13
"207",11
"208",13
"209",13
"210",7
"211",8
"212",11
"213",1
"214",7
"215",4
"216",11
"217",15
"218",4
"219",8
"220",13
"221",4
"222",6
"223",9
"224",2
"225",15
"226",15
"227",15
"228",12
"229",6
"230",13
"231",5
"232",2
"233",4
"234",12
"235",4
"236",6
"237",15
"238",15
"239",8
"240",7
"241",14
"242",7
"243",10
"244",10
"245",15
"246",11
"247",10
"248",13
"249",10
"250",13
"251",14
"252",15
"253",15
"254",2
"255",13
"256",7
"257",15
"258",8
"259",6
"260",12
"261",9
"262",14
"263",7
"264",8
"265",12
"266",12
"267",2
"268",6
"269",15
"270",9
"271",4
"272",4
"273",6
"274",8
"275",13
"276",10
"277",11
"278",6
"279",15
"280",6
"281",9
"282",6
"283",15
"284",12
"285",4
"286",6
"287",6
"288",12
"289",3
"290",11
"291",6
"292",15
"293",6
"294",9
"295",1
"296",11
"297",4
"298",1
"299",5
"300",8
"301",10
"302",15
"303",8
"304",5
"305",6
"306",2
"307",2
"308",12
"309",4
"310",10
"311",4
"312",15
"313",2
"314",8
"315",9
"316",2
"317",4
"318",6
"319",13
"320",8
"321",15
"322",15
"323",2
"324",6
"325",6
"326",11
"327",11
"328",1
"329",15
"330",14
"331",2
"332",6
"333",12
"334",6
"335",13
"336",4
"337",15
"338",2
"339",14
"340",6
"341",7
"342",4
"343",2
"344",14
"345",10
"346",11
"347",11
"348",4
"349",6
"350",13
"351",13
"352",13
"353",11
"354",6
"355",13
"356",6
"357",10
"358",3
"359",12
"360",8
"361",15
"362",15
"363",12
"364",4
"365",6
"366",2
"367",4
"368",8
"369",5
"370",14
"371",7
"372",7
"373",6
"374",4
"375",2
"376",7
"377",13
"378",4
"379",12
"380",11
"381",15
"382",11
"383",6
"384",14
"385",13
"386",5
"387",13
"388",14
"389",11
"390",15
"391",4
"392",15
"393",14
"394",8
"395",2
"396",15
"397",12
"398",6
"399",15
"400",9
"401",4
"402",7
"403",8
"404",9
"405",2
"406",1
"407",6
"408",12
"409",13
"410",5
"411",13
"412",6
"413",2
"414",13
"415",2
"416",12
"417",12
"418",6
"419",12
"420",15
"421",6
"422",7
"423",15
"424",4
"425",6
"426",10
"427",6
"428",12
"429",3
"430",9
"431",7
"432",12
"433",13
"434",10
"435",11
"436",15
"437",2
"438",11
"439",4
"440",4
"441",13
"442",7
"443",11
"444",8
"445",10
"446",13
"447",5
"448",6
"449",10
"450",10
"451",8
"452",12
"453",6
"454",8
"455",7
"456",7
"457",12
"458",2
"459",14
"460",4
"461",15
"462",4
"463",12
"464",6
"465",8
"466",14
"467",8
"468",11
"469",11
"470",6
"471",6
"472",10
"473",6
"474",8
"475",14
"476",12
"477",6
"478",9
"479",14
"480",10
"481",15
"482",11
"483",6
"484",6
"485",11
"486",4
"487",6
"488",6
"489",14
"490",12
"491",4
"492",5
"493",13
"494",14
"495",15
"496",10
"497",15
"498",10
"499",14
"500",12
"501",15
"502",7
"503",2
"504",8
"505",12
"506",4
"507",14
"508",6
"509",13
"510",5
"511",15
"512",14
"513",13
"514",4
"515",10
"516",15
"517",10
"518",14
"519",8
"520",2
"521",12
"522",8
"523",12
"524",2
"525",12
"526",10
"527",6
"528",6
"529",6
"530",2
"531",15
"532",4
"533",12
"534",8
"535",10
"536",15
"537",10
"538",4
"539",10
"540",14
"541",2
"542",15
"543",2
"544",6
"545",2
"546",8
"547",6
"548",3
"549",15
"550",9
"551",15
"552",10
"553",1
"554",5
"555",6
"556",1
"557",13
"558",6
"559",2
"560",15
"561",2
"562",10
"563",13
"564",14
"565",8
"566",5
"567",3
"568",10
"569",8
"570",13
"571",10
"572",6
"573",12
"574",1
"575",2
"576",5
"577",6
"578",12
"579",4
"580",6
"581",11
"582",15
"583",8
"584",15
"585",2
"586",6
"587",3
"588",14
"589",6
"590",7
"591",15
"592",6
"593",7
"594",6
"595",11
"596",2
"597",3
"598",11
"599",1
"600",1
"601",6
"602",7
"603",2
"604",6
"605",2
"606",7
"607",8
"608",14
"609",6
"610",2
"611",5
"612",1
"613",13
"614",8
"615",2
"616",14
"617",8
"618",10
"619",15
"620",4
"621",15
"622",2
"623",15
"624",10
"625",6
"626",3
"627",6
"628",4
"629",15
"630",11
"631",10
"632",15
"633",10
"634",15
"635",15
"636",3
"637",6
"638",6
"639",6
