"","x"
"1748",11
"1749",8
"1750",2
"1751",10
"1752",11
"1753",8
"1754",6
"1755",8
"1756",1
"1757",8
"1758",10
"1759",9
"1760",12
"1761",15
"1762",11
"1763",9
"1764",8
"1765",9
"1766",1
"1767",8
"1768",8
"1769",11
"1770",8
"1771",9
"1772",3
"1773",8
"1774",7
"1775",8
"1776",13
"1777",8
"1778",10
"1779",8
"1780",8
"1781",13
"1782",6
"1783",15
"1784",8
"1785",10
"1786",12
"1787",8
"1788",6
"1789",1
"1790",4
"1791",5
"1792",1
"1793",9
"1794",10
"1795",13
"1796",6
"1797",8
"1798",1
"1799",8
"1800",15
"1801",1
"1802",3
"1803",8
"1804",1
"1805",1
"1806",4
"1807",13
"1808",1
"1809",13
"1810",1
"1811",1
"1812",8
"1813",11
"1814",10
"1815",9
"1816",1
"1817",6
"1818",5
"1819",11
"1820",3
"1821",1
"1822",1
"1823",1
"1824",8
"1825",13
"1826",10
"1827",15
"1828",12
"1829",4
"1830",10
"1831",15
"1832",4
"1833",1
"1834",8
"1835",1
"1836",5
"1837",8
"1838",11
"1839",6
"1840",1
"1841",9
"1842",2
"1843",1
"1844",11
"1845",13
"1846",4
"1847",9
"1848",2
"1849",5
"1850",11
"1851",11
"1852",11
"1853",7
"1854",12
"1855",7
"1856",1
"1857",15
"1858",6
"1859",4
"1860",2
"1861",11
"1862",7
"1863",10
"1864",5
"1865",6
"1866",9
"1867",8
"1868",10
"1869",7
"1870",6
"1871",4
"1872",6
"1873",7
"1874",7
"1875",7
"1876",8
"1877",15
"1878",8
"1879",5
"1880",10
"1881",5
"1882",3
"1883",10
"1884",2
"1885",9
"1886",9
"1887",7
"1888",1
"1889",8
"1890",4
"1891",8
"1892",8
"1893",4
"1894",8
"1895",7
"1896",8
"1897",6
"1898",11
"1899",10
"1900",1
"1901",10
"1902",10
"1903",10
"1904",5
"1905",10
"1906",10
"1907",13
"1908",1
"1909",6
"1910",8
"1911",9
"1912",4
"1913",13
"1914",11
"1915",15
"1916",5
"1917",7
"1918",4
"1919",10
"1920",7
"1921",6
"1922",8
"1923",1
"1924",1
"1925",6
"1926",13
"1927",13
"1928",12
"1929",13
"1930",9
"1931",11
"1932",7
"1933",12
"1934",8
"1935",12
"1936",3
"1937",8
"1938",6
"1939",6
"1940",4
"1941",8
"1942",10
"1943",8
"1944",7
"1945",1
"1946",7
"1947",1
"1948",4
"1949",11
"1950",7
"1951",8
"1952",15
"1953",9
"1954",4
"1955",4
"1956",9
"1957",1
"1958",11
"1959",7
"1960",5
"1961",1
"1962",7
"1963",12
"1964",9
"1965",2
"1966",1
"1967",1
"1968",7
"1969",13
"1970",1
"1971",11
"1972",7
"1973",1
"1974",11
"1975",8
"1976",8
"1977",6
"1978",6
"1979",6
"1980",4
"1981",4
"1982",8
"1983",15
"1984",10
"1985",8
"1986",11
"1987",1
"1988",1
"1989",6
"1990",13
"1991",15
"1992",1
"1993",10
"1994",7
"1995",4
"1996",11
"1997",8
"1998",5
"1999",7
"2000",8
"2001",6
"2002",7
"2003",1
"2004",11
"2005",9
"2006",9
"2007",1
"2008",1
"2009",1
"2010",8
"2011",8
"2012",2
"2013",6
"2014",4
"2015",8
"2016",3
"2017",1
"2018",15
"2019",4
"2020",7
"2021",9
"2022",1
"2023",10
"2024",6
"2025",8
"2026",6
"2027",10
"2028",1
"2029",8
"2030",8
"2031",9
"2032",8
"2033",8
"2034",5
"2035",5
"2036",5
"2037",3
"2038",1
"2039",1
"2040",6
"2041",13
"2042",9
"2043",4
"2044",11
"2045",11
"2046",3
"2047",9
"2048",8
"2049",4
"2050",5
"2051",8
"2052",8
"2053",1
"2054",13
"2055",13
"2056",8
"2057",11
"2058",10
"2059",3
"2060",4
"2061",6
"2062",8
"2063",15
"2064",13
"2065",6
"2066",11
"2067",10
"2068",12
"2069",10
"2070",6
"2071",10
"2072",9
"2073",11
"2074",6
"2075",8
"2076",9
"2077",9
"2078",7
"2079",8
"2080",1
"2081",4
"2082",8
"2083",12
"2084",11
"2085",15
"2086",1
"2087",6
"2088",2
"2089",6
"2090",1
"2091",10
"2092",9
"2093",15
"2094",10
"2095",5
"2096",8
"2097",7
"2098",7
"2099",7
"2100",8
"2101",8
"2102",11
"2103",9
"2104",1
"2105",9
"2106",6
"2107",3
"2108",1
"2109",5
"2110",1
"2111",8
"2112",13
"2113",6
"2114",4
"2115",11
"2116",2
"2117",2
"2118",7
"2119",1
"2120",8
"2121",8
"2122",1
