"","Embryos0002","Embryos0204","Embryos0406","Embryos0608","Embryos0810","Embryos1012","Embryos1214","Embryos1416","Embryos1618","Embryos1820","Embryos2022","Embryos2224"
"FBgn0036956",294,25,31,31,43,182,783,2670,6767,3212,180,563
"FBgn0036958",8814,4547,15085,13367,9849,9924,11127,9407,5983,5460,2148,3545
"FBgn0036959",692,839,839,575,538,580,859,338,312,219,363,672
"FBgn0036960",0,0,0,2,5,6,22,99,155,244,145,234
"FBgn0036962",17,280,403,119,158,297,345,227,155,165,67,145
"FBgn0036964",929,1114,4605,2488,1918,2286,2511,956,863,657,433,965
"FBgn0036967",6828,7797,11976,7755,7598,6324,10277,3854,3478,2886,3585,7597
"FBgn0036968",9,13,16,83,156,654,1009,710,1991,2867,1587,3795
"FBgn0036969",0,0,0,0,5,1,0,2,2,2,0,1
"FBgn0036970",0,1,4,30,38,38,50,14,10,12,11,29
"FBgn0036972",0,0,2,0,0,0,0,0,0,0,0,0
"FBgn0036973",1041,1382,4000,2399,1755,1896,2124,846,695,445,393,774
"FBgn0036974",17727,14763,21257,14310,16492,32650,34473,21530,17622,15420,9282,20398
"FBgn0036975",45,192,1215,1809,2423,2790,5417,3333,2759,2289,1706,3839
"FBgn0036977",40,63,358,94,56,36,30,22,37,35,2,7
"FBgn0036978",2,37,301,115,129,197,305,79,44,136,462,1124
"FBgn0036979",6,8,57,75,75,395,1068,551,397,353,154,418
"FBgn0036980",17789,14107,10905,5894,7550,7490,10835,8131,6396,4011,4627,9308
"FBgn0036984",10,104,79,53,43,259,671,1021,1467,1502,797,1843
"FBgn0036985",48,407,893,147,177,56,253,3136,27845,27390,3528,8443
"FBgn0036986",4,16,25,26,63,450,917,1618,1708,2070,808,1724
"FBgn0036987",1607,692,2402,1537,1292,1673,1540,801,605,570,308,643
"FBgn0036988",1851,623,3336,1641,1263,1203,1904,575,637,490,203,573
"FBgn0036990",3163,1617,4793,2348,2258,3693,4254,3329,3165,2759,1246,2576
