"","Embryos0002","Embryos0204","Embryos0406","Embryos0608","Embryos0810","Embryos1012","Embryos1214","Embryos1416","Embryos1618","Embryos1820","Embryos2022","Embryos2224"
"FBgn0029950",0,2,6,21,31,89,182,325,1150,1702,639,1924
"FBgn0029951",1,1,17,48,39,12,12,4,6,4,0,5
"FBgn0029952",0,0,2,2,5,13,34,19,8,6,1,5
"FBgn0029955",1,3,4,25,42,296,531,653,483,493,135,300
"FBgn0029957",11965,2941,9124,7369,6708,5773,4939,6287,4027,2767,1058,2064
"FBgn0029958",4022,913,5128,3789,3305,5492,5814,4734,3550,3099,1287,2755
"FBgn0029959",1721,1241,6001,2434,1624,1900,2804,1899,2058,1659,754,1778
"FBgn0029961",0,0,2,0,0,1,1,1,0,3,0,0
"FBgn0029962",2,9,7,8,25,137,399,373,552,536,220,660
"FBgn0029963",0,0,0,0,0,1,2,2,0,3,0,0
"FBgn0029964",0,0,0,0,0,0,0,0,1,1,1,0
"FBgn0029965",0,0,0,0,0,0,2,2,10,8,4,3
"FBgn0029966",0,1,1,0,1,1,2,1,2,2,1,2
"FBgn0029968",7,6,8,52,56,85,70,38,14,17,10,21
"FBgn0029969",7213,252,174,332,775,3363,3255,3227,2206,2103,2289,4602
"FBgn0029970",5950,4495,7590,3056,2260,1468,1509,1235,1068,524,831,1773
"FBgn0029971",4053,2884,5790,3576,3595,4840,6257,6066,6849,7777,4760,9589
"FBgn0029974",27,20,17,33,70,178,349,515,694,961,524,1081
"FBgn0029975",6577,2064,1757,3985,6499,17773,18073,12505,8874,7675,3120,6788
"FBgn0029976",5699,638,2251,2779,2898,3311,4330,2810,2517,3500,2284,4957
"FBgn0029977",9,10,21,33,24,52,33,31,29,34,19,33
"FBgn0029979",24187,4417,7036,6672,8492,9120,15645,7319,5701,4254,1577,3861
"FBgn0029980",3453,1555,3445,1761,1596,2933,2292,1718,1582,2077,1370,2378
"FBgn0029986",9,14,105,74,37,16,33,20,16,22,7,36
"FBgn0029987",1,8,30,28,15,6,4,3,0,1,0,3
"FBgn0029989",0,0,1,0,1,0,1,5,3,6,3,3
"FBgn0029990",19,4,45,53,109,273,1289,2361,3283,3227,5472,18373
"FBgn0029992",5244,6373,12341,7138,7185,7419,9864,5152,3491,2419,1716,3592
"FBgn0029993",6,46,130,86,70,162,219,134,78,49,10,24
"FBgn0029994",33,65,341,1109,1758,5620,8838,12848,9428,5241,2174,4296
"FBgn0029995",2,11,11,10,24,45,83,281,332,447,137,217
"FBgn0029996",20360,21757,14795,7562,11169,14070,26830,19436,20810,13146,6601,16972
"FBgn0029997",4883,3585,2119,1117,1759,1742,2883,3342,2529,1781,2213,3605
"FBgn0029999",5264,629,3224,2364,2438,3526,2707,1680,1244,1455,1797,2987
"FBgn0030000",4982,5872,10114,6599,6188,6719,6884,4814,3157,2365,2845,4775
"FBgn0030001",15,26,112,127,128,613,1313,1865,3054,1280,42,69
"FBgn0030003",8435,5705,9064,5371,5172,5320,6164,4500,3425,3137,2057,4119
"FBgn0030004",90,312,1464,905,872,997,1279,768,586,541,171,446
"FBgn0030005",8,28,60,45,36,75,182,431,606,1592,974,2251
"FBgn0030006",757,761,1755,1091,812,934,1061,539,438,624,319,629
"FBgn0030007",8221,1383,4047,4709,5289,10901,9071,6167,3925,3224,1967,3382
"FBgn0030008",3980,77,110,198,334,736,790,571,436,443,219,397
"FBgn0030009",0,0,1,1,2,3,0,3,0,2,0,1
"FBgn0030010",2989,200,948,925,799,898,777,517,387,307,148,289
"FBgn0030011",1117,109,203,500,845,3242,3594,4229,3813,4033,1951,3997
"FBgn0030012",2040,108,321,573,935,2820,2284,1464,855,714,297,625
"FBgn0030013",4234,658,551,352,543,1040,1107,846,626,927,735,2004
"FBgn0030014",1,1,4,2,2,1,0,0,0,4,4,14
"FBgn0030015",3,13,119,42,19,11,10,5,3,4,1,1
"FBgn0030016",1,6,16,13,29,54,21,27,12,32,6,28
"FBgn0030017",80,148,428,762,783,997,1482,1458,930,943,315,553
"FBgn0030018",20250,7648,10816,8559,8512,7265,10019,5954,4268,3636,1286,3082
"FBgn0030025",2201,370,608,777,907,1487,1404,509,350,274,154,270
"FBgn0030026",2414,935,1359,646,770,1366,1167,1388,1054,873,600,1220
"FBgn0030027",23,65,219,363,835,3472,8341,14671,2586,862,205,382
"FBgn0030028",2010,1373,2557,846,558,444,391,201,115,101,36,110
"FBgn0030029",21,18,34,26,35,51,56,35,47,47,42,79
"FBgn0030030",4418,4649,7410,3852,3870,3969,4927,2620,2202,1150,1042,2428
"FBgn0030033",3,70,130,5,7,15,4,23,11,18,2,7
"FBgn0030034",18732,22810,28821,15919,12941,12226,14416,12723,7760,4516,4931,7408
"FBgn0030035",8850,12104,25118,10079,8920,10104,8504,6952,4630,3215,1637,3427
"FBgn0030037",9883,2470,5340,3722,3257,4821,5093,7030,3533,2095,855,1789
"FBgn0030038",22823,24615,54679,20200,14389,17892,22617,23025,11378,4778,2019,4508
"FBgn0030039",1625,19,46,68,135,641,793,555,373,405,225,509
"FBgn0030040",97,93,236,1084,2339,14531,22313,27570,23114,21338,13845,25942
"FBgn0030041",30,16,16,17,19,54,88,854,2764,3367,6301,12399
"FBgn0030048",2140,1690,1514,674,968,755,1468,459,755,318,511,1371
"FBgn0030049",36386,29560,22434,14256,15778,12481,18224,25765,18298,11417,7957,13529
"FBgn0030050",0,1,6,6,2,13,14,8,11,11,9,9
"FBgn0030051",1,3,8,16,17,164,268,443,363,633,687,1148
"FBgn0030052",1795,130,343,885,870,2981,4061,7628,14281,22353,8221,15666
"FBgn0030053",6531,6357,5496,5524,6195,8112,6551,6481,4929,4172,2714,4329
"FBgn0030054",25552,20763,41568,18749,11789,5199,8147,5834,3508,1738,2902,4366
"FBgn0030055",4775,934,2783,2033,1697,2171,2415,2433,1779,1746,727,1519
"FBgn0030056",12613,2991,4089,2072,1575,2038,2877,1898,2177,3238,3032,6694
"FBgn0030057",1185,1513,5660,2483,1864,1604,1423,685,512,348,476,828
"FBgn0030058",0,13,8,4,6,6,3,6,6,5,5,5
"FBgn0030060",6243,7826,11882,6112,6219,8486,6510,4445,3096,2044,2151,4007
"FBgn0030061",6184,4010,12053,8106,7306,6889,8569,3321,2541,2361,2997,5599
"FBgn0030063",2224,2470,4542,2512,2617,2820,3313,1191,1205,1236,1311,2474
"FBgn0030065",141,101,264,1066,2664,10871,21223,48966,19107,21395,4285,8823
"FBgn0030066",1815,534,543,247,293,421,521,517,612,654,181,424
"FBgn0030067",6365,5401,9947,6988,6775,7248,7069,4934,3503,2350,3803,5977
"FBgn0030071",1,2,0,6,4,2,4,5,8,4,1,2
"FBgn0030073",430,208,133,63,124,189,377,473,449,311,238,558
"FBgn0030074",12,0,1,2,2,3,5,2,5,6,2,6
"FBgn0030077",34,16,49,102,156,1687,3816,7752,8016,5100,1111,2062
"FBgn0030078",0,2,8,15,64,230,371,100,576,503,384,1535
"FBgn0030079",42,74,303,604,1332,8256,11143,5638,10185,18049,11474,24553
"FBgn0030080",0,2,2,4,6,13,23,16,25,46,15,60
"FBgn0030081",4284,2545,5504,4390,4582,3889,3716,1906,1211,1015,1314,2266
"FBgn0030082",5776,7940,10727,6330,6505,7753,5964,3496,2457,1642,2433,3634
"FBgn0030085",0,1,1,1,0,1,3,2,0,0,1,0
"FBgn0030086",62218,6617,16772,20101,22017,51364,37571,28418,18387,13099,7024,11225
"FBgn0030087",5972,1374,1916,1547,1676,2779,3658,3452,3266,4242,2870,5717
"FBgn0030088",2207,1120,1505,1287,1380,1602,1856,910,757,634,358,913
"FBgn0030089",22682,10443,9878,8345,9882,13115,18300,16570,12721,11343,5950,11957
"FBgn0030090",6919,5189,7098,4241,4982,6353,8014,5407,3500,2246,1791,3583
"FBgn0030091",4301,6600,14730,7925,6544,5884,6741,5465,3246,2037,1922,3704
"FBgn0030092",1549,607,1085,565,504,1002,834,890,703,543,213,437
"FBgn0030093",32185,36919,49360,31058,24800,21557,21865,19657,11251,6600,5361,9163
"FBgn0030096",4314,3094,5153,3106,3805,5675,5753,3181,1954,1934,1610,2584
"FBgn0030097",1,6,5,1,15,5,7,14,13,17,30,74
"FBgn0030098",1,10,27,23,33,14,7,31,53,733,4235,12237
"FBgn0030099",981,427,1792,1541,1200,1707,1409,967,594,538,234,456
"FBgn0030100",1064,669,550,568,681,948,744,568,410,285,197,342
"FBgn0030101",1160,263,527,338,308,661,691,581,759,1295,365,844
"FBgn0030102",0,11,55,48,32,24,10,70,292,809,2673,4104
"FBgn0030103",0,1,4,11,8,9,3,42,66,91,29,65
"FBgn0030104",0,2,3,4,1,3,2,3,13,13,5,6
"FBgn0030105",2,2,1,0,4,3,3,18,117,362,506,681
"FBgn0030107",15,7,20,61,96,393,1629,10449,1230,106,9,22
"FBgn0030108",1,3,7,0,1,3,4,2,3,1,1,2
"FBgn0030109",9101,10299,16176,11078,10533,10116,14795,8435,6930,4142,4125,8006
"FBgn0030114",5039,1615,5143,6784,7143,12020,10656,8985,5073,4761,713,1689
"FBgn0030120",4,33,72,19,14,28,39,29,15,24,5,18
"FBgn0030121",5501,2465,4902,2995,2559,2977,2717,1734,1226,1143,585,1278
"FBgn0030122",7419,6631,11506,6151,5538,6488,3992,3314,2317,1326,1444,2576
"FBgn0030136",28836,44491,115818,75985,82693,103120,121084,63204,63737,63084,45963,90541
"FBgn0030137",586,118,568,400,443,543,884,314,344,293,212,430
"FBgn0030141",11301,8584,3996,2196,3124,3539,4889,5084,3824,2361,2788,5096
"FBgn0030142",3574,2632,4476,3532,4007,4707,5364,3060,2149,1672,834,1964
"FBgn0030144",11378,9382,11432,6173,5475,5408,5743,5631,3876,2670,1269,2131
"FBgn0030145",5064,4276,5371,3237,3005,2861,3505,2322,1985,1674,616,1221
"FBgn0030148",37,30,93,60,96,206,795,4932,10759,22178,34325,67422
"FBgn0030151",13491,13573,35346,16645,15806,18479,21055,13468,9154,7069,2961,5906
"FBgn0030156",5,6,11,18,39,146,407,1019,1079,1009,465,1003
"FBgn0030157",2,1,1,3,4,6,19,62,308,1657,2365,5747
"FBgn0030158",3,3,0,3,9,13,9,42,370,1922,1720,3724
"FBgn0030159",9,17,26,116,231,4283,7941,4358,1271,740,105,271
"FBgn0030160",24,12,20,57,188,1640,2917,2000,4370,12107,7061,16153
"FBgn0030161",5,2,6,1,8,13,22,126,1850,2161,72,277
"FBgn0030162",10,5,10,33,99,846,2021,3173,2508,2786,75,199
"FBgn0030163",0,1,2,0,3,0,2,8,6,4,1,2
"FBgn0030164",0,0,0,1,3,0,3,3,26,24,1,6
"FBgn0030165",1,0,0,1,2,1,6,50,141,93,12,20
"FBgn0030166",21,14,23,12,67,84,155,1420,12382,17724,437,1628
"FBgn0030167",0,1,4,0,2,2,12,66,145,72,14,33
"FBgn0030170",4498,645,2210,918,558,280,376,259,189,132,50,125
"FBgn0030171",100,211,1000,807,2040,1531,4140,22949,63378,30093,5131,10745
"FBgn0030172",3,7,30,42,88,91,110,261,679,416,49,86
"FBgn0030173",7,13,63,53,115,107,197,354,968,586,52,126
"FBgn0030174",5843,1440,1360,519,899,679,1179,1787,1129,580,828,1417
"FBgn0030177",5548,2166,6635,5265,5105,7268,6736,3750,2633,2764,3265,5206
"FBgn0030178",1086,139,440,342,412,684,660,441,354,275,151,347
"FBgn0030181",30,13,3,6,5,6,7,9,8,13,2,1
"FBgn0030182",5,9,9,14,23,21,65,402,937,1295,647,1475
"FBgn0030183",1080,312,374,338,667,2494,2846,1060,952,839,398,1073
"FBgn0030186",1038,418,867,1015,2317,2224,7629,206993,514511,249677,2890,7335
"FBgn0030187",584,122,293,460,1010,1687,2933,122748,162682,11631,605,1395
"FBgn0030189",868,432,1342,670,488,507,518,291,201,131,79,181
"FBgn0030191",5,5,8,7,2,4,5,2,2,2,0,0
"FBgn0030192",5,10,43,101,127,59,123,515,560,668,201,395
"FBgn0030193",5,13,41,128,139,76,169,485,596,761,292,460
"FBgn0030195",5,15,44,53,29,10,38,102,112,166,35,91
"FBgn0030196",3505,1430,5615,2722,2148,2196,2267,1219,1618,1321,626,2151
"FBgn0030200",0,0,0,0,1,0,0,3,1,2,1,4
"FBgn0030202",0,0,0,0,1,1,0,5,5,4,3,4
"FBgn0030204",1,1,18,4,4,2,3,2,6,16,9,48
"FBgn0030205",68976,40780,87982,65785,47259,42692,59751,63518,36780,32119,15095,24238
"FBgn0030206",1863,338,1688,3037,2619,3309,3205,2642,1983,2121,981,1737
"FBgn0030207",14,28,71,45,39,23,30,19,7,6,9,13
"FBgn0030208",10216,15283,40863,15770,10700,10153,11748,5726,4695,2562,3358,4663
"FBgn0030215",1,3,10,4,3,2,2,1,2,4,1,2
"FBgn0030217",760,1082,2284,918,830,1360,1259,972,705,412,159,312
"FBgn0030218",241,72,576,944,621,728,813,1034,1170,1851,2480,3974
"FBgn0030219",31,46,213,586,964,4689,8722,19067,11828,11330,3598,6288
"FBgn0030220",11,10,19,113,161,957,2152,4144,3281,2728,832,1384
"FBgn0030222",0,1,10,24,40,34,39,11,5,7,2,5
"FBgn0030223",0,1,3,22,22,8,30,33,7,19,8,15
"FBgn0030224",1,15,207,278,134,28,19,18,3,11,2,8
"FBgn0030228",12208,6759,6265,4184,4819,4795,6294,6177,4693,3026,2786,5449
"FBgn0030230",166,2367,11003,2647,1954,2816,2125,1354,920,1134,665,1186
"FBgn0030234",35,54,344,959,1265,4199,6609,7275,9551,11141,3683,7971
"FBgn0030235",17252,3577,10297,9713,8739,4741,9806,7332,5189,4971,1796,3493
"FBgn0030237",10,24,103,384,698,1728,1726,1455,1451,1754,769,1684
"FBgn0030239",1570,542,1754,1172,1126,1599,1381,708,875,1547,1536,3331
"FBgn0030240",9689,1822,5466,4985,3861,5238,4249,3178,1953,1743,973,1689
"FBgn0030241",31009,14149,36856,25978,15848,9276,4673,2069,887,789,350,744
"FBgn0030242",6323,880,4978,5085,2589,1234,964,377,149,133,38,86
"FBgn0030243",21465,20833,28049,18237,16931,16187,17037,18184,12296,8874,9235,11827
"FBgn0030244",21,29,40,42,95,290,628,3160,7579,9488,1124,1951
"FBgn0030245",1586,2157,5507,3423,4143,5228,5117,2267,1737,992,647,1318
"FBgn0030246",8487,2446,9342,6499,5663,5495,6381,5624,5263,4695,2628,5437
"FBgn0030247",0,2,10,2,7,5,3,1,3,1,2,3
"FBgn0030248",11,40,166,431,727,1019,1859,1476,1483,1839,792,1687
"FBgn0030249",16,49,233,649,918,1431,2297,2881,2553,3597,1364,2347
"FBgn0030251",204,2634,12815,3779,1901,1948,2214,4340,10016,15593,4573,8064
"FBgn0030252",1780,1314,6460,26371,39550,62818,80174,78705,22824,23463,4423,7830
"FBgn0030254",5,2,23,73,88,294,1046,2883,696,84,5,21
"FBgn0030257",13,11,49,87,147,1240,2791,4677,2980,4151,1187,2275
"FBgn0030258",1,0,1,1,1,1,4,1,10,124,367,901
"FBgn0030259",0,0,0,0,0,2,0,2,20,314,379,1105
"FBgn0030260",1,0,0,0,2,2,3,11,66,426,440,1122
"FBgn0030261",3,2,1,2,14,67,104,504,1584,2921,1237,3047
"FBgn0030262",3,2,10,2,10,13,26,80,588,856,184,366
"FBgn0030263",6604,3674,2185,1071,1752,4116,4336,4344,3723,4658,2326,4539
"FBgn0030266",12195,1307,7215,13248,12583,10377,15041,14276,8486,7987,3495,6076
"FBgn0030268",39499,14497,27695,18912,13705,10828,11358,9478,7752,7171,2546,4992
"FBgn0030269",7487,10540,22402,8041,7070,8137,9968,7055,4697,3553,3107,5102
"FBgn0030270",2,20,37,22,27,22,30,145,295,579,143,392
"FBgn0030271",9,11,33,25,19,39,41,80,304,317,106,198
"FBgn0030272",4,46,89,33,23,20,31,27,18,26,117,188
"FBgn0030274",5373,2041,7079,4607,4063,5200,4816,3209,2465,2235,1404,2191
"FBgn0030276",14280,2421,1939,2607,3363,5527,8501,6476,5784,5436,2876,5929
"FBgn0030277",0,0,0,0,6,2,0,12,13,30,2,4
"FBgn0030278",0,0,0,1,2,0,0,0,0,1,0,1
"FBgn0030280",0,0,0,1,3,0,0,1,0,2,1,0
"FBgn0030283",0,0,0,0,1,1,1,2,1,4,0,9
"FBgn0030286",15538,5353,5927,4815,4682,7064,8229,7412,8876,12094,5109,10385
"FBgn0030289",8279,2165,16608,12914,8872,12810,8998,7260,4271,3299,1370,2524
"FBgn0030290",9,73,658,437,336,255,108,29,14,6,2,3
"FBgn0030291",1389,810,1967,1327,1092,1303,1146,428,417,255,336,646
"FBgn0030292",1885,962,2187,1989,2130,3152,2949,3021,3040,4456,2784,4347
"FBgn0030293",34548,20835,49918,35748,25995,26965,26349,22489,13482,9543,4723,8228
"FBgn0030294",2682,1156,4259,3096,3005,3405,2574,549,691,785,413,1157
"FBgn0030296",0,4,6,5,14,10,5,7,9,17,7,8
"FBgn0030297",0,3,59,40,17,6,2,5,4,14,4,10
"FBgn0030298",2,0,6,12,11,10,5,6,9,27,14,17
"FBgn0030299",7020,712,688,1356,2490,5147,9909,7929,6146,4216,1514,3277
"FBgn0030300",9,12,39,41,59,749,1616,2569,3097,2359,939,2144
"FBgn0030301",6394,6198,6758,4359,4471,3416,4449,3450,2581,1314,2837,4512
"FBgn0030302",0,0,1,1,2,4,4,19,45,48,27,65
"FBgn0030303",1,0,4,4,9,11,24,55,143,149,108,265
"FBgn0030304",1,3,5,7,17,64,132,672,1577,2453,1222,2424
"FBgn0030305",6256,294,578,1501,2825,8223,8489,6721,3718,1969,1044,1808
"FBgn0030306",5144,6545,19527,10718,10012,13441,17390,10082,6027,3482,1572,3151
"FBgn0030307",1,0,4,4,6,3,10,1,0,2,0,3
"FBgn0030309",46,31,68,109,320,863,1927,5827,16153,31754,25838,54200
"FBgn0030310",2,1,1,3,2,9,15,11,15,50,36,77
"FBgn0030311",1640,480,2579,2594,2182,2693,2907,2187,1874,2344,1197,2212
"FBgn0030313",0,21,181,77,49,33,35,14,9,5,3,3
"FBgn0030314",7261,5005,8732,5790,5203,5328,4223,2990,1779,1571,757,1308
"FBgn0030316",1836,460,1625,1540,1511,2192,1782,1441,996,1071,479,832
"FBgn0030317",11,102,491,315,153,83,69,31,39,13,3,12
"FBgn0030318",4473,5953,12313,6896,5593,5418,7826,5931,3224,2259,3002,5089
"FBgn0030319",4,19,37,41,20,47,44,26,23,20,11,12
"FBgn0030320",9743,4142,6478,3969,3242,3369,4356,1434,1002,750,476,1265
"FBgn0030321",14002,6719,22421,13106,11316,15914,19896,11053,7690,5420,3832,7566
"FBgn0030322",3373,2809,8333,5043,3242,2220,1509,474,450,411,302,621
"FBgn0030323",2350,798,1180,890,1090,2203,1691,1040,588,469,222,461
"FBgn0030326",3,3,7,6,91,19,31,52,80,270,716,1135
"FBgn0030327",6052,2060,11469,7841,6367,10966,8128,4620,2876,2751,1855,3299
"FBgn0030328",39497,57399,121031,61729,48494,49260,50904,36017,23549,14717,16460,26667
"FBgn0030329",9962,5532,17784,15864,15268,21039,25329,17154,12690,6350,1966,3993
"FBgn0030330",13561,5665,8962,6336,5846,5124,6507,5604,4230,2878,1647,3192
"FBgn0030331",4,5,11,9,8,11,8,9,18,285,1428,3902
"FBgn0030332",10,9,48,184,1390,2368,2206,1330,2686,5195,4367,11107
"FBgn0030334",27,8,41,209,380,1405,2031,1606,1910,1972,695,1630
"FBgn0030336",31789,17978,8920,3514,4464,4531,5583,10256,7605,6076,3486,6093
"FBgn0030338",0,1,19,2,7,4,4,7,11,6,3,10
"FBgn0030339",0,0,3,4,2,4,18,62,111,56,13,15
"FBgn0030340",250,80,276,226,556,584,1481,51966,174665,31307,521,1154
"FBgn0030341",4007,813,4141,6086,6506,12107,12801,6334,5386,4810,1754,3506
"FBgn0030342",3327,2977,4131,3144,3536,4955,4246,3054,2049,1271,907,1891
"FBgn0030343",15214,5138,7283,8285,7966,12223,14012,15753,10014,6228,4816,8199
"FBgn0030344",7256,2734,5692,3936,3975,4820,7457,3043,2433,1504,794,1859
"FBgn0030345",3095,854,1060,829,1072,2629,2725,1991,2852,3034,741,1545
"FBgn0030346",4527,585,1469,986,1003,1965,1387,1246,982,1151,474,942
"FBgn0030347",376,363,250,665,1481,3442,3037,2764,2071,2069,1274,2598
"FBgn0030348",0,2,13,8,10,9,6,7,7,10,8,23
"FBgn0030349",3002,1666,7445,7279,7640,13519,19154,13822,12076,15024,8343,17329
"FBgn0030350",2041,1574,5593,5158,4539,8512,7112,4907,4285,4554,2792,5543
"FBgn0030351",551,484,781,1088,988,1583,2394,1507,1232,663,296,730
"FBgn0030352",2421,863,2444,1297,1164,1612,1337,1259,942,906,586,1068
"FBgn0030354",10283,3276,20370,12478,9863,11621,12338,8284,5954,5120,2458,4555
"FBgn0030357",111,6,4,5,22,17,107,205,489,613,470,1347
"FBgn0030358",6,11,47,64,144,628,1331,1524,1699,1857,808,1684
"FBgn0030359",3,33,73,13,9,22,51,52,61,106,44,63
"FBgn0030360",104,943,2545,2522,2993,9417,11811,7168,3503,3505,1151,2148
"FBgn0030361",1120,408,2636,1248,618,489,439,232,199,210,71,192
"FBgn0030362",1751,546,1105,1521,2965,7167,5964,2983,2635,7207,6543,13923
"FBgn0030364",7599,4312,14537,8888,7318,7058,7934,4512,3520,2841,1342,3148
"FBgn0030365",10211,12586,22938,10229,8909,13051,8318,7947,4727,3102,2268,3770
"FBgn0030366",24099,22763,28910,15773,15399,12358,22353,13476,11775,7742,6101,14147
"FBgn0030367",11,8,27,19,21,50,34,100,299,313,115,441
"FBgn0030369",1,0,3,1,2,7,8,88,188,104,17,34
"FBgn0030370",0,0,0,0,2,4,0,4,2,6,0,2
"FBgn0030373",798,638,1571,232,270,282,319,274,206,66,80,184
"FBgn0030374",0,1,2,2,2,1,4,3,3,5,1,4
"FBgn0030375",0,5,7,6,9,39,34,54,34,31,5,13
"FBgn0030376",34,36,32,18,28,12,31,16,15,11,11,31
"FBgn0030377",113,92,470,412,304,389,623,348,201,135,51,111
"FBgn0030384",0,0,0,0,2,1,1,1,0,0,0,0
"FBgn0030385",0,3,3,0,2,0,1,8,6,12,3,3
"FBgn0030386",0,0,0,0,3,0,1,1,4,0,0,0
"FBgn0030389",2,0,5,9,19,48,323,505,133,31,4,4
"FBgn0030390",243,116,251,279,747,978,2661,60057,156344,30623,585,1587
"FBgn0030391",4561,1862,3244,1264,1324,1562,2005,1669,1314,1276,522,1105
"FBgn0030394",21,17,29,122,190,2039,4228,1380,2383,16593,7834,17413
"FBgn0030395",28,6,11,22,45,121,178,77,33,33,7,19
"FBgn0030396",4716,304,135,253,604,3257,4574,4809,5262,8359,2822,6211
"FBgn0030398",0,0,0,0,3,3,7,11,20,139,687,1834
"FBgn0030399",0,2,2,1,3,10,22,93,165,257,157,269
"FBgn0030400",4666,919,6344,4298,2951,4047,6679,3643,3231,4141,2087,4034
"FBgn0030403",5983,2714,9487,7377,6697,12628,9041,10271,9088,10763,9232,15582
"FBgn0030406",2283,3071,7359,5738,5313,5843,5979,2465,1995,1590,2256,4026
"FBgn0030407",433,169,327,332,513,1159,1637,1113,1286,1045,820,1486
"FBgn0030408",0,1,1,3,1,12,22,16,22,15,11,21
"FBgn0030409",0,8,4,12,8,8,2,7,3,3,4,3
"FBgn0030410",1812,1176,2081,692,646,765,687,739,542,503,265,471
"FBgn0030411",1316,269,640,466,516,890,916,624,562,805,882,1593
"FBgn0030412",4424,376,381,323,432,1357,2978,3222,4314,6660,4135,9019
"FBgn0030417",11,105,339,261,153,136,225,328,221,231,95,163
"FBgn0030418",1085,1729,4554,1550,1354,1849,1957,887,787,513,429,1025
"FBgn0030420",2035,226,720,742,652,492,977,242,245,209,96,282
"FBgn0030421",2305,313,713,1191,1497,3141,3069,1338,731,440,240,600
"FBgn0030425",1,0,2,10,10,13,11,18,30,585,917,1679
"FBgn0030429",0,0,2,5,4,1,3,7,10,10,7,7
"FBgn0030431",3834,408,423,593,1124,2547,2623,2987,2467,2408,2193,4211
"FBgn0030432",9601,2243,1479,660,1039,1018,1304,1545,785,260,319,637
"FBgn0030433",2275,1403,3699,2210,2490,5353,4125,3599,3342,3507,1825,3522
"FBgn0030434",8225,4499,10289,5764,4662,5973,6188,4256,3031,2734,1217,2943
"FBgn0030435",3130,1369,5920,4267,3779,5713,6147,3641,3187,2669,1004,2081
"FBgn0030437",0,2,0,1,0,4,5,27,76,232,216,383
"FBgn0030438",0,0,0,0,2,2,0,0,3,1,1,2
"FBgn0030439",0,0,0,0,3,1,9,15,22,36,15,33
"FBgn0030440",0,0,0,0,1,1,2,6,5,3,1,4
"FBgn0030441",0,0,0,0,1,0,1,0,2,1,1,5
"FBgn0030443",0,0,0,1,2,0,3,14,5,13,9,13
"FBgn0030447",2229,947,1886,823,889,1928,1464,1458,1161,1233,1042,1570
"FBgn0030448",10834,2263,2566,1213,997,1143,1314,1253,1294,1649,1333,2416
"FBgn0030449",0,5,13,10,10,13,9,21,11,15,7,22
"FBgn0030451",3918,759,4151,3935,4316,12419,12329,7618,3844,3049,1511,3105
"FBgn0030452",1312,510,1388,4055,4742,8788,9028,6250,3028,2574,1422,3158
"FBgn0030455",2,0,0,5,3,5,18,10,5,2,2,8
"FBgn0030456",9910,9072,6545,2775,3453,4360,4858,2814,1574,681,576,1426
"FBgn0030457",132,50,254,368,370,615,1851,1108,914,782,460,926
"FBgn0030459",56,47,62,108,173,214,1457,24056,15919,1819,39,158
"FBgn0030460",2159,776,1368,688,816,1810,1696,1770,1488,1216,531,1052
"FBgn0030462",0,1,7,5,2,4,12,6,1,3,0,6
"FBgn0030465",4951,1288,4053,3395,3563,7149,6866,3763,1905,1343,589,1121
"FBgn0030466",15130,17874,28626,19780,19070,21239,21485,13897,8642,4573,4021,7708
"FBgn0030467",1637,512,1412,1828,1812,2846,4284,2477,2564,2558,912,1812
"FBgn0030468",14537,11207,17267,11346,9909,10734,9375,7273,4845,2619,1944,3596
"FBgn0030469",101,142,773,1945,1689,3656,5431,7824,7563,7933,2838,5770
"FBgn0030474",2105,2445,4317,2916,2624,2457,3159,1441,1335,1105,658,1496
"FBgn0030477",11,119,1111,1158,200,76,80,114,49,78,35,54
"FBgn0030478",10802,1016,2070,2796,3260,4627,5183,6449,8686,13435,12153,25601
"FBgn0030479",1480,4163,14659,14420,9686,10160,9858,8522,4342,3591,1322,2484
"FBgn0030480",1216,1397,3725,1864,1788,2648,4174,1379,1647,1327,884,2303
"FBgn0030481",3073,905,849,832,949,1541,1432,1087,1017,1098,887,1603
"FBgn0030482",843,1983,3663,581,651,1004,1905,1497,1186,5922,2201,6719
"FBgn0030483",0,0,4,0,3,3,5,2,3,2,0,8
"FBgn0030484",95,417,2252,3668,5264,12715,15108,16397,14025,10833,2008,6569
"FBgn0030485",57,39,43,57,64,189,419,331,206,297,143,296
"FBgn0030486",24177,21430,23299,14234,15805,10317,20259,17114,11261,6480,8724,13498
"FBgn0030491",2,0,1,5,11,13,95,623,892,1169,184,329
"FBgn0030492",0,0,0,0,0,0,2,0,0,4,0,2
"FBgn0030493",0,0,0,0,2,5,11,12,10,29,3,11
"FBgn0030494",0,0,1,0,4,10,25,54,65,93,215,373
"FBgn0030495",0,0,3,0,5,2,6,13,6,24,4,9
"FBgn0030499",6659,589,1267,1536,2256,3736,3606,2969,1851,1481,557,1062
"FBgn0030500",4714,1885,11026,5381,2934,1570,954,325,195,205,62,190
"FBgn0030501",3653,4296,9879,4008,3471,2453,2341,1124,981,542,529,1155
"FBgn0030502",11842,5990,9129,7011,6790,10423,10434,5408,4191,3751,1686,3605
"FBgn0030503",1628,1987,4195,1649,1432,1882,2218,1763,1107,718,747,1530
"FBgn0030504",19734,22657,34013,18495,17230,15850,19987,13878,10311,7172,11312,18379
"FBgn0030505",3131,2641,4725,3280,3000,3579,6067,6165,3972,4062,3863,5367
