"","SRX008333","SRX008334","SRX008331","SRX008332"
"ENSG00000081014",53,45,46,44
"ENSG00000081019",22,21,32,37
"ENSG00000081052",42,42,7,9
"ENSG00000081181",26,18,43,34
"ENSG00000081760",13,9,8,14
"ENSG00000082212",142,175,54,49
"ENSG00000082397",0,0,65,66
"ENSG00000082515",31,22,25,28
"ENSG00000082641",536,469,562,552
"ENSG00000082805",240,161,135,97
"ENSG00000083093",32,32,71,77
"ENSG00000083290",0,0,53,57
"ENSG00000083454",15,14,0,0
"ENSG00000083799",19,26,93,97
"ENSG00000083807",10,12,7,3
"ENSG00000083812",14,23,31,28
"ENSG00000083838",16,11,32,24
"ENSG00000083844",11,5,8,11
"ENSG00000083845",243,165,278,304
"ENSG00000084070",25,26,12,16
"ENSG00000084092",190,155,373,400
"ENSG00000084112",18,18,24,28
"ENSG00000084234",870,597,915,872
"ENSG00000084444",8,11,38,28
"ENSG00000084463",88,63,76,91
"ENSG00000084623",34,33,66,75
"ENSG00000084628",1,0,16,11
"ENSG00000084652",17,9,16,11
"ENSG00000084733",44,32,33,36
"ENSG00000085063",37,31,142,140
"ENSG00000085117",28,17,3,0
"ENSG00000085274",28,39,39,45
"ENSG00000085415",117,90,64,47
"ENSG00000085433",15,18,66,65
"ENSG00000085491",0,3,16,26
"ENSG00000085644",55,60,75,64
"ENSG00000085840",44,47,73,68
"ENSG00000085872",393,388,491,436
"ENSG00000086061",21,17,9,10
"ENSG00000086062",146,126,127,103
"ENSG00000086544",12,19,45,36
"ENSG00000086598",179,156,313,318
"ENSG00000086666",30,19,22,17
"ENSG00000086712",35,44,99,84
"ENSG00000086827",37,29,110,92
"ENSG00000087074",68,70,153,186
"ENSG00000087086",48,38,42,46
"ENSG00000087088",16,11,18,24
"ENSG00000087095",20,26,20,23
"ENSG00000087152",119,110,92,86
"ENSG00000087157",12,8,26,24
"ENSG00000087191",120,97,175,148
"ENSG00000087253",0,0,33,25
"ENSG00000087263",79,94,119,144
"ENSG00000087269",55,45,48,38
"ENSG00000087299",24,15,37,34
"ENSG00000087301",56,66,79,106
"ENSG00000087302",98,73,86,126
"ENSG00000087303",0,0,39,30
"ENSG00000087365",755,637,989,953
"ENSG00000087448",118,121,59,68
"ENSG00000087470",17,13,22,30
"ENSG00000087502",37,36,69,63
"ENSG00000087903",13,4,29,33
"ENSG00000088247",152,166,154,152
"ENSG00000088256",7,7,22,12
"ENSG00000088298",32,34,44,22
"ENSG00000088305",22,16,17,15
"ENSG00000088325",765,714,510,463
"ENSG00000088356",41,27,45,32
"ENSG00000088538",0,4,89,110
"ENSG00000088682",35,39,79,59
