"","SRX008333","SRX008334","SRX008331","SRX008332"
"ENSG00000100941",345,615,566,708
"ENSG00000100949",56,67,95,87
"ENSG00000100968",24,52,20,27
"ENSG00000100979",10,15,86,87
"ENSG00000100982",121,79,133,129
"ENSG00000100983",91,98,129,137
"ENSG00000100991",114,110,317,239
"ENSG00000100994",12,9,9,6
"ENSG00000101017",12,8,2,1
"ENSG00000101057",2322,2084,1090,1040
"ENSG00000101079",5,9,19,18
"ENSG00000101098",0,0,64,55
"ENSG00000101126",271,260,242,199
"ENSG00000101138",15,19,6,11
"ENSG00000101150",98,84,102,100
"ENSG00000101152",17,11,16,15
"ENSG00000101160",15,24,2,3
"ENSG00000101161",305,217,281,281
"ENSG00000101187",12,12,4,3
"ENSG00000101189",69,58,81,95
"ENSG00000101190",23,32,61,75
"ENSG00000101210",1,2,151,148
"ENSG00000101220",117,115,95,90
"ENSG00000101224",24,20,12,8
"ENSG00000101255",22,16,18,20
"ENSG00000101265",197,161,4,12
"ENSG00000101298",0,0,16,8
"ENSG00000101347",8,11,4,7
"ENSG00000101350",91,101,180,146
"ENSG00000101367",72,65,122,111
"ENSG00000101400",67,85,61,66
"ENSG00000101412",269,229,196,192
"ENSG00000101417",17,8,2,1
"ENSG00000101421",111,88,55,53
"ENSG00000101439",0,0,122,125
"ENSG00000101442",39,44,38,40
"ENSG00000101444",45,48,54,53
"ENSG00000101447",61,61,54,52
"ENSG00000101474",62,64,205,220
"ENSG00000101493",46,56,76,59
"ENSG00000101544",87,74,193,173
"ENSG00000101546",39,38,83,78
"ENSG00000101557",162,157,153,137
"ENSG00000101558",84,91,81,74
"ENSG00000101574",49,33,23,24
"ENSG00000101596",200,223,177,174
"ENSG00000101608",100,82,33,43
"ENSG00000101654",88,89,147,143
"ENSG00000101665",3,8,15,10
"ENSG00000101751",26,23,9,30
"ENSG00000101752",204,199,386,349
"ENSG00000101773",158,174,144,170
"ENSG00000101782",53,59,60,60
"ENSG00000101846",316,319,13,8
"ENSG00000101856",53,47,461,446
"ENSG00000101882",5,1,12,18
"ENSG00000101888",10,7,14,9
"ENSG00000101928",0,3,23,18
"ENSG00000101935",20,19,5,4
"ENSG00000102007",102,63,7,2
"ENSG00000102034",8,11,5,5
"ENSG00000102038",0,0,56,42
"ENSG00000102096",66,66,8,12
"ENSG00000102103",22,31,26,32
"ENSG00000102158",36,34,159,159
"ENSG00000102189",22,29,62,59
"ENSG00000102195",0,0,43,53
"ENSG00000102218",37,49,49,38
"ENSG00000102241",36,42,151,123
"ENSG00000102302",10,10,126,95
"ENSG00000102390",2,1,32,28
"ENSG00000102409",0,0,154,185
"ENSG00000102471",27,27,41,28
"ENSG00000102575",35,37,0,0
"ENSG00000102580",8,13,22,19
"ENSG00000102743",9,11,2,3
"ENSG00000102753",24,20,23,23
"ENSG00000102755",1,0,18,20
"ENSG00000102760",11,5,5,1
"ENSG00000102805",10,11,27,29
"ENSG00000102858",215,166,181,156
"ENSG00000102870",7,6,295,296
"ENSG00000102879",402,466,2,3
"ENSG00000102890",4,13,1,3
"ENSG00000102893",53,35,53,57
"ENSG00000102897",28,28,26,30
"ENSG00000102898",37,47,57,44
"ENSG00000102900",311,307,361,340
"ENSG00000102901",52,64,60,72
"ENSG00000102908",41,32,76,67
"ENSG00000102910",33,38,78,66
"ENSG00000102921",94,71,135,141
"ENSG00000102931",60,59,71,59
"ENSG00000102935",0,0,28,41
"ENSG00000102967",18,22,28,32
"ENSG00000102974",133,85,107,106
"ENSG00000102977",33,27,43,34
"ENSG00000102978",78,77,122,132
"ENSG00000102981",25,23,8,5
"ENSG00000102984",19,15,44,33
"ENSG00000102996",5,1,28,17
"ENSG00000103005",32,26,24,21
"ENSG00000103018",64,69,50,41
"ENSG00000103021",3,1,31,20
"ENSG00000103024",23,24,66,64
"ENSG00000103034",3,3,63,57
"ENSG00000103035",133,154,109,95
"ENSG00000103042",11,13,106,97
"ENSG00000103043",74,77,79,79
"ENSG00000103047",41,24,78,70
"ENSG00000103051",24,16,63,61
"ENSG00000103061",21,20,14,13
"ENSG00000103064",112,114,88,88
"ENSG00000103066",87,57,21,22
"ENSG00000103067",0,0,88,79
"ENSG00000103091",16,14,66,54
"ENSG00000103111",28,18,18,15
"ENSG00000103121",13,11,7,4
"ENSG00000103145",63,48,39,33
"ENSG00000103150",20,19,14,11
"ENSG00000103152",13,6,31,25
"ENSG00000103160",46,41,108,99
"ENSG00000103168",82,142,183,161
"ENSG00000103174",26,25,38,44
"ENSG00000103187",269,233,64,63
"ENSG00000103199",16,20,38,42
"ENSG00000103202",7,5,86,78
"ENSG00000103222",204,162,290,247
"ENSG00000103241",0,0,29,22
"ENSG00000103245",83,72,68,48
"ENSG00000103248",19,27,42,47
"ENSG00000103249",87,93,322,343
"ENSG00000103253",30,26,6,7
"ENSG00000103254",19,14,13,25
"ENSG00000103257",2648,2013,899,777
"ENSG00000103264",20,27,51,47
"ENSG00000103266",44,39,88,81
"ENSG00000103274",32,32,54,46
"ENSG00000103275",160,121,79,49
"ENSG00000103319",65,53,65,50
"ENSG00000103326",74,56,88,66
"ENSG00000103342",150,161,205,207
"ENSG00000103343",25,29,29,28
"ENSG00000103351",2,3,27,28
"ENSG00000103353",18,12,16,21
"ENSG00000103356",41,23,92,89
"ENSG00000103363",21,18,21,16
"ENSG00000103365",661,684,318,240
"ENSG00000103381",46,25,23,30
"ENSG00000103415",90,78,73,67
"ENSG00000103423",198,185,257,274
"ENSG00000103426",87,93,33,31
"ENSG00000103429",89,113,238,202
"ENSG00000103449",0,0,62,60
"ENSG00000103479",130,129,265,266
"ENSG00000103489",127,82,5,3
"ENSG00000103490",46,28,0,1
"ENSG00000103494",13,17,57,47
"ENSG00000103495",1125,1030,1453,1203
"ENSG00000103502",129,71,213,182
"ENSG00000103507",30,39,79,91
"ENSG00000103510",82,59,114,108
"ENSG00000103522",310,224,1,1
"ENSG00000103540",80,106,166,152
"ENSG00000103544",57,32,112,106
"ENSG00000103549",55,68,121,122
"ENSG00000103550",23,17,34,27
"ENSG00000103591",57,60,146,141
"ENSG00000103642",2,1,26,11
"ENSG00000103647",24,15,2,2
"ENSG00000103653",662,554,216,173
"ENSG00000103657",27,17,34,31
"ENSG00000103671",14,17,29,29
"ENSG00000103707",20,22,23,27
"ENSG00000103723",0,0,34,26
"ENSG00000103742",1,1,45,41
"ENSG00000103769",109,111,116,149
"ENSG00000103811",2,0,59,47
"ENSG00000103855",0,0,41,17
"ENSG00000103876",25,22,42,48
"ENSG00000103932",140,138,184,208
"ENSG00000103942",0,0,45,43
"ENSG00000103966",148,113,122,92
"ENSG00000103978",11,1,9,8
"ENSG00000103994",221,172,172,148
"ENSG00000103995",101,119,71,84
"ENSG00000104059",0,0,29,23
"ENSG00000104064",35,36,41,41
"ENSG00000104081",11,2,2,1
"ENSG00000104093",4,6,109,128
"ENSG00000104131",35,33,10,20
"ENSG00000104133",105,96,147,140
"ENSG00000104142",107,81,90,80
"ENSG00000104147",32,25,16,17
"ENSG00000104154",28,26,17,7
"ENSG00000104177",47,59,56,41
"ENSG00000104221",8,5,6,14
"ENSG00000104267",0,0,79,70
"ENSG00000104341",0,0,97,92
"ENSG00000104442",4,10,18,18
"ENSG00000104518",85,81,0,0
"ENSG00000104522",31,36,39,41
"ENSG00000104529",40,34,51,47
"ENSG00000104643",28,23,24,40
"ENSG00000104687",26,11,10,9
"ENSG00000104731",41,45,41,40
"ENSG00000104765",12,11,18,17
"ENSG00000104783",15,11,1,0
"ENSG00000104814",357,332,3,5
"ENSG00000104823",236,232,154,156
"ENSG00000104824",40,32,24,21
"ENSG00000104825",123,115,57,48
"ENSG00000104852",415,390,551,546
"ENSG00000104853",341,328,291,295
"ENSG00000104859",136,138,164,134
"ENSG00000104866",23,30,48,40
"ENSG00000104870",0,0,37,23
"ENSG00000104872",75,69,78,79
"ENSG00000104880",271,216,86,86
"ENSG00000104884",43,34,69,55
"ENSG00000104886",116,109,63,57
"ENSG00000104889",133,110,270,228
"ENSG00000104894",158,211,1,0
"ENSG00000104897",412,412,313,338
"ENSG00000104899",3,3,75,54
"ENSG00000104903",59,58,0,1
"ENSG00000104904",594,532,445,441
"ENSG00000104907",51,62,88,76
"ENSG00000104915",42,53,45,41
"ENSG00000104936",57,65,81,69
"ENSG00000104946",37,44,100,83
"ENSG00000104957",45,63,56,39
"ENSG00000104960",67,69,109,115
"ENSG00000104964",855,849,173,143
"ENSG00000104969",191,151,162,136
"ENSG00000104973",110,91,26,19
"ENSG00000104979",170,146,172,177
"ENSG00000104980",150,108,132,104
"ENSG00000104983",30,33,9,9
"ENSG00000105011",144,150,93,73
"ENSG00000105053",45,40,69,44
"ENSG00000105058",73,75,86,91
"ENSG00000105063",640,571,227,192
"ENSG00000105072",15,17,60,59
"ENSG00000105085",23,22,9,12
"ENSG00000105122",95,65,0,1
"ENSG00000105127",95,107,140,107
"ENSG00000105135",28,18,37,42
"ENSG00000105137",0,0,116,102
"ENSG00000105171",48,42,34,24
"ENSG00000105173",63,65,54,52
"ENSG00000105176",150,170,242,243
"ENSG00000105185",33,39,55,79
"ENSG00000105186",14,16,27,27
"ENSG00000105193",207,159,214,221
"ENSG00000105197",141,111,187,143
"ENSG00000105202",717,606,886,943
"ENSG00000105204",11,12,101,97
"ENSG00000105216",278,268,197,195
"ENSG00000105220",176,177,124,132
"ENSG00000105229",89,66,83,79
"ENSG00000105245",33,13,76,93
"ENSG00000105248",72,71,81,95
"ENSG00000105255",18,10,58,52
"ENSG00000105258",53,47,75,65
"ENSG00000105281",575,390,424,416
"ENSG00000105287",163,172,45,47
"ENSG00000105290",0,1,71,86
"ENSG00000105298",56,47,56,39
"ENSG00000105321",28,27,24,33
"ENSG00000105323",81,85,60,54
"ENSG00000105325",122,111,132,134
"ENSG00000105327",6,3,55,53
"ENSG00000105329",361,332,79,76
"ENSG00000105341",166,135,168,153
"ENSG00000105355",408,333,94,76
"ENSG00000105357",1,0,104,93
"ENSG00000105364",586,562,317,295
"ENSG00000105369",1944,1861,1,0
"ENSG00000105372",79,63,135,109
"ENSG00000105376",24,43,14,17
"ENSG00000105379",60,40,54,50
"ENSG00000105393",104,137,79,69
"ENSG00000105397",285,345,255,234
"ENSG00000105401",256,236,216,223
"ENSG00000105402",236,239,327,304
"ENSG00000105404",182,153,228,179
"ENSG00000105426",0,0,398,348
"ENSG00000105429",90,94,307,259
"ENSG00000105438",329,281,626,655
"ENSG00000105447",136,124,138,131
"ENSG00000105464",4,2,19,12
"ENSG00000105486",285,299,365,359
"ENSG00000105497",18,12,19,32
"ENSG00000105514",12,3,6,5
"ENSG00000105516",15,12,15,12
"ENSG00000105518",28,20,36,35
"ENSG00000105520",1,0,73,71
"ENSG00000105552",103,76,129,108
"ENSG00000105556",60,80,90,79
"ENSG00000105559",11,4,1,1
"ENSG00000105576",189,267,230,230
"ENSG00000105583",75,53,80,73
"ENSG00000105607",62,59,50,52
"ENSG00000105612",101,88,65,58
"ENSG00000105613",5,7,41,40
"ENSG00000105617",22,25,32,33
"ENSG00000105619",14,17,8,18
"ENSG00000105643",52,46,4,12
"ENSG00000105655",9,12,275,275
"ENSG00000105656",49,37,20,18
"ENSG00000105662",21,17,57,44
"ENSG00000105663",74,60,55,37
"ENSG00000105669",334,338,462,436
"ENSG00000105671",134,129,174,168
"ENSG00000105676",199,213,180,190
"ENSG00000105677",55,35,153,109
"ENSG00000105679",14,14,15,20
"ENSG00000105695",8,12,0,0
"ENSG00000105696",0,0,25,31
"ENSG00000105698",282,227,193,203
"ENSG00000105699",127,104,121,90
"ENSG00000105700",274,216,371,353
"ENSG00000105701",324,325,367,325
"ENSG00000105722",79,81,70,73
"ENSG00000105723",91,79,133,144
"ENSG00000105732",130,121,106,109
"ENSG00000105755",16,7,10,18
"ENSG00000105767",1,2,40,35
"ENSG00000105771",113,100,89,94
"ENSG00000105849",18,16,17,16
"ENSG00000105879",17,15,7,4
"ENSG00000105887",308,214,202,126
"ENSG00000105939",19,10,7,8
"ENSG00000105991",24,28,17,15
"ENSG00000106004",2,2,23,24
"ENSG00000106006",0,1,16,29
"ENSG00000106153",14,8,10,11
"ENSG00000106211",15,18,15,9
"ENSG00000106261",15,15,23,12
"ENSG00000106355",9,10,8,14
"ENSG00000106367",42,41,32,21
"ENSG00000106400",36,31,29,17
"ENSG00000106537",1,1,11,17
"ENSG00000106588",8,11,10,18
"ENSG00000106771",5,4,15,6
"ENSG00000106780",12,10,16,8
"ENSG00000106789",2,0,14,11
"ENSG00000106799",47,49,90,96
"ENSG00000106803",15,17,14,15
"ENSG00000106952",10,19,0,0
"ENSG00000106992",1,2,42,35
"ENSG00000107021",5,8,19,15
"ENSG00000107175",55,51,76,108
"ENSG00000107185",42,32,57,42
"ENSG00000107223",122,105,148,155
"ENSG00000107338",2,2,33,31
"ENSG00000107341",217,146,214,220
"ENSG00000107362",28,20,21,15
"ENSG00000107404",19,20,46,38
"ENSG00000107443",5,2,19,9
"ENSG00000107566",25,33,34,40
"ENSG00000107719",72,64,26,27
"ENSG00000107731",0,0,247,231
"ENSG00000107745",20,13,88,66
"ENSG00000107789",0,2,15,18
"ENSG00000107833",49,44,27,23
"ENSG00000107854",142,175,255,300
"ENSG00000107862",19,11,26,17
"ENSG00000107874",14,9,31,28
"ENSG00000107949",20,25,27,28
"ENSG00000107957",0,2,117,121
"ENSG00000107960",8,17,14,13
"ENSG00000108055",44,41,51,65
"ENSG00000108064",21,10,20,16
"ENSG00000108106",45,53,22,11
"ENSG00000108107",768,892,471,410
"ENSG00000108179",52,47,48,25
"ENSG00000108256",225,204,146,181
"ENSG00000108264",23,24,30,29
"ENSG00000108270",259,244,256,257
"ENSG00000108272",6,6,19,12
"ENSG00000108278",38,32,24,25
"ENSG00000108294",74,63,60,51
"ENSG00000108296",52,49,94,64
"ENSG00000108298",35,24,35,42
"ENSG00000108306",12,7,25,29
"ENSG00000108312",446,395,210,207
"ENSG00000108344",97,77,72,83
"ENSG00000108349",92,89,130,130
"ENSG00000108375",124,97,12,7
"ENSG00000108379",1,3,27,15
"ENSG00000108389",195,153,323,294
"ENSG00000108395",69,58,135,123
"ENSG00000108406",26,36,154,138
"ENSG00000108424",866,952,1963,1966
"ENSG00000108433",16,15,16,15
"ENSG00000108439",75,75,82,80
"ENSG00000108465",21,37,79,61
"ENSG00000108479",55,40,63,45
"ENSG00000108504",12,23,14,15
"ENSG00000108506",40,23,64,71
"ENSG00000108509",82,92,222,215
"ENSG00000108510",183,157,236,231
"ENSG00000108518",508,489,390,280
"ENSG00000108523",90,88,391,352
"ENSG00000108528",80,77,266,250
"ENSG00000108559",97,111,213,209
"ENSG00000108561",91,120,424,264
"ENSG00000108578",149,130,125,171
"ENSG00000108582",73,69,256,230
"ENSG00000108588",134,124,318,328
"ENSG00000108592",149,132,273,225
"ENSG00000108604",408,344,225,262
"ENSG00000108622",51,35,0,0
"ENSG00000108639",48,39,47,37
"ENSG00000108654",739,937,1228,1174
"ENSG00000108666",26,19,34,46
"ENSG00000108679",3,0,32,32
"ENSG00000108773",245,272,368,384
"ENSG00000108774",167,164,238,208
"ENSG00000108784",48,58,59,46
"ENSG00000108786",7,15,18,17
"ENSG00000108788",16,18,20,24
"ENSG00000108797",31,35,24,30
"ENSG00000108798",87,101,0,0
"ENSG00000108799",78,121,178,156
"ENSG00000108826",22,9,27,35
"ENSG00000108828",38,47,193,146
"ENSG00000108829",404,325,412,337
"ENSG00000108830",3,0,46,38
"ENSG00000108840",100,116,212,177
"ENSG00000108854",30,28,88,115
"ENSG00000108861",4,9,298,298
"ENSG00000108883",431,357,857,853
"ENSG00000108946",172,135,126,143
"ENSG00000108947",2,0,29,38
"ENSG00000108960",23,34,24,30
"ENSG00000108963",17,12,188,193
"ENSG00000109016",11,8,82,85
"ENSG00000109062",273,215,66,68
"ENSG00000109065",55,54,129,146
"ENSG00000109066",8,14,15,15
"ENSG00000109079",68,68,135,121
"ENSG00000109084",103,80,105,98
"ENSG00000109089",0,0,31,29
"ENSG00000109103",2,3,25,24
"ENSG00000109107",12,11,4,2
"ENSG00000109111",174,161,228,211
"ENSG00000109118",42,38,26,37
"ENSG00000109270",6,13,24,22
"ENSG00000109390",23,18,9,14
"ENSG00000109445",9,12,13,14
"ENSG00000109519",19,13,25,30
"ENSG00000109534",20,14,15,30
"ENSG00000109576",0,0,7,14
"ENSG00000109670",48,47,56,55
"ENSG00000109674",24,27,19,35
"ENSG00000109705",0,0,18,9
"ENSG00000109854",20,24,25,28
"ENSG00000109861",41,48,22,20
"ENSG00000109881",45,30,43,49
"ENSG00000109911",27,33,35,29
"ENSG00000109919",113,116,149,118
"ENSG00000109920",147,179,254,287
"ENSG00000109929",72,77,171,183
"ENSG00000109971",201,183,360,346
"ENSG00000110011",53,47,53,27
"ENSG00000110025",76,51,46,49
"ENSG00000110031",351,298,6,9
"ENSG00000110042",27,22,4,2
"ENSG00000110048",145,130,199,172
"ENSG00000110057",105,106,22,24
"ENSG00000110060",14,16,56,59
"ENSG00000110063",68,56,93,58
"ENSG00000110074",51,41,73,46
"ENSG00000110075",75,59,73,68
"ENSG00000110080",9,11,22,22
"ENSG00000110090",51,42,38,30
"ENSG00000110104",104,120,145,161
"ENSG00000110107",467,397,438,452
"ENSG00000110108",166,189,126,124
"ENSG00000110171",1,4,29,29
"ENSG00000110172",11,8,5,3
"ENSG00000110200",5,15,13,4
"ENSG00000110218",20,21,39,34
"ENSG00000110237",0,0,72,53
"ENSG00000110274",32,31,86,70
"ENSG00000110315",22,27,61,71
"ENSG00000110318",10,20,15,12
"ENSG00000110321",1527,1445,1365,1299
"ENSG00000110324",69,94,4,0
"ENSG00000110328",47,34,41,45
"ENSG00000110330",57,70,60,75
"ENSG00000110344",111,109,137,145
"ENSG00000110367",75,50,62,55
"ENSG00000110395",173,111,99,101
"ENSG00000110400",7,2,13,15
"ENSG00000110422",76,78,44,48
"ENSG00000110427",179,149,29,18
"ENSG00000110429",13,13,36,33
"ENSG00000110435",21,20,35,48
"ENSG00000110442",37,16,85,91
"ENSG00000110446",36,29,0,1
"ENSG00000110455",0,0,21,10
"ENSG00000110492",0,0,33,21
"ENSG00000110497",53,45,136,112
"ENSG00000110536",48,46,88,76
"ENSG00000110583",89,96,112,137
"ENSG00000110660",56,37,50,56
"ENSG00000110675",0,0,14,15
"ENSG00000110696",8,23,37,38
"ENSG00000110697",250,234,77,66
"ENSG00000110700",15,21,44,44
"ENSG00000110711",256,209,221,209
"ENSG00000110717",109,113,210,152
"ENSG00000110719",164,204,15,19
"ENSG00000110721",160,144,25,29
"ENSG00000110756",42,58,68,50
"ENSG00000110768",63,43,43,44
"ENSG00000110777",1874,1328,0,0
"ENSG00000110801",80,62,44,70
"ENSG00000110841",4,2,41,36
"ENSG00000110851",67,72,210,194
"ENSG00000110871",9,17,23,22
"ENSG00000110876",40,38,0,0
"ENSG00000110880",295,266,333,308
"ENSG00000110881",3,4,154,152
"ENSG00000110888",23,17,33,34
"ENSG00000110906",66,70,91,80
"ENSG00000110911",16,18,87,91
"ENSG00000110917",591,408,433,385
"ENSG00000110921",67,44,49,32
"ENSG00000110925",35,36,119,105
"ENSG00000110931",40,45,69,70
"ENSG00000110934",6,11,0,0
"ENSG00000110955",1619,1313,1611,1589
"ENSG00000110958",67,90,92,97
"ENSG00000110987",528,427,197,180
"ENSG00000111011",61,46,43,76
"ENSG00000111012",31,28,9,10
"ENSG00000111052",0,1,13,20
"ENSG00000111087",11,16,3,0
"ENSG00000111110",0,0,36,30
"ENSG00000111142",279,315,265,259
"ENSG00000111144",36,43,113,122
"ENSG00000111145",21,16,16,16
"ENSG00000111186",0,0,7,15
"ENSG00000111196",9,9,6,14
"ENSG00000111203",27,25,37,39
"ENSG00000111206",678,577,507,473
"ENSG00000111231",27,31,36,42
"ENSG00000111237",82,85,63,62
"ENSG00000111245",10,13,0,0
"ENSG00000111247",15,24,43,30
"ENSG00000111252",238,177,55,39
"ENSG00000111261",0,0,12,17
"ENSG00000111266",4,1,127,132
"ENSG00000111269",11,10,42,63
"ENSG00000111275",243,233,234,214
"ENSG00000111300",54,58,127,136
"ENSG00000111328",62,62,68,54
"ENSG00000111331",65,52,4,0
"ENSG00000111335",18,9,0,0
"ENSG00000111344",173,157,1,0
"ENSG00000111348",1639,1441,0,0
"ENSG00000111358",32,32,83,97
"ENSG00000111361",70,55,55,33
"ENSG00000111364",33,50,67,46
"ENSG00000111371",346,350,316,346
"ENSG00000111412",121,76,41,29
"ENSG00000111424",61,57,17,12
"ENSG00000111432",0,0,24,31
"ENSG00000111450",11,9,27,25
"ENSG00000111452",27,29,0,1
"ENSG00000111481",96,72,200,209
"ENSG00000111530",304,329,464,481
"ENSG00000111540",26,21,37,34
"ENSG00000111581",143,160,187,213
"ENSG00000111596",106,113,94,104
"ENSG00000111602",373,353,681,633
"ENSG00000111605",125,116,147,148
"ENSG00000111615",34,33,51,52
"ENSG00000111639",175,109,91,109
"ENSG00000111641",296,303,313,303
"ENSG00000111642",935,770,1110,941
"ENSG00000111647",20,19,46,38
"ENSG00000111652",96,103,177,207
"ENSG00000111664",21,17,12,10
"ENSG00000111665",99,113,40,39
"ENSG00000111666",44,28,72,64
"ENSG00000111667",261,257,268,238
"ENSG00000111674",0,2,52,53
"ENSG00000111676",16,18,264,234
"ENSG00000111678",141,142,184,182
"ENSG00000111679",30,34,3,5
"ENSG00000111684",78,78,75,68
"ENSG00000111707",56,42,66,61
"ENSG00000111711",22,23,56,66
"ENSG00000111716",43,38,68,85
"ENSG00000111725",65,68,109,107
"ENSG00000111726",47,55,90,111
"ENSG00000111727",7,4,33,36
"ENSG00000111731",44,59,130,134
"ENSG00000111732",193,169,0,0
"ENSG00000111737",93,90,36,34
"ENSG00000111775",12,10,16,20
"ENSG00000111780",17,21,12,24
"ENSG00000111786",94,78,67,57
"ENSG00000111845",57,69,74,73
"ENSG00000111850",4,14,11,8
"ENSG00000111875",24,26,5,12
"ENSG00000111880",33,30,35,49
"ENSG00000111885",227,231,111,107
"ENSG00000111897",31,30,481,566
"ENSG00000111906",11,12,65,49
"ENSG00000111907",0,0,21,12
"ENSG00000111911",19,24,104,116
"ENSG00000112029",15,24,48,32
"ENSG00000112033",17,21,12,18
"ENSG00000112039",50,42,83,68
"ENSG00000112062",6,6,3,14
"ENSG00000112079",139,121,86,80
"ENSG00000112081",86,58,59,48
"ENSG00000112096",16,22,20,15
"ENSG00000112110",72,72,91,56
"ENSG00000112144",39,28,32,39
"ENSG00000112149",33,38,18,10
"ENSG00000112195",58,37,0,0
"ENSG00000112208",16,20,10,14
"ENSG00000112210",8,10,18,18
"ENSG00000112218",5,5,13,17
"ENSG00000112234",49,49,45,39
"ENSG00000112238",1,0,16,4
"ENSG00000112290",22,16,29,29
"ENSG00000112294",88,74,9,9
"ENSG00000112303",18,25,0,0
"ENSG00000112304",21,12,24,20
"ENSG00000112306",4,6,22,30
"ENSG00000112308",21,15,14,13
"ENSG00000112335",29,25,24,10
"ENSG00000112343",37,36,2,5
"ENSG00000112365",75,88,60,44
"ENSG00000112378",0,0,104,105
"ENSG00000112406",65,57,55,59
"ENSG00000112531",55,52,38,21
"ENSG00000112541",0,0,36,38
"ENSG00000112578",16,9,12,13
"ENSG00000112624",166,156,58,39
"ENSG00000112658",91,86,78,58
"ENSG00000112664",71,38,54,48
"ENSG00000112667",29,32,72,54
"ENSG00000112679",38,43,13,13
"ENSG00000112697",5,4,12,15
"ENSG00000112699",20,25,39,43
"ENSG00000112759",142,167,153,145
"ENSG00000112787",223,224,161,149
"ENSG00000112799",40,38,0,0
"ENSG00000112837",0,0,48,39
"ENSG00000113196",0,0,58,53
"ENSG00000113272",10,6,27,18
"ENSG00000113312",14,16,10,22
"ENSG00000113384",11,3,7,13
"ENSG00000113732",20,8,7,11
"ENSG00000113811",6,6,15,14
"ENSG00000114023",15,9,25,28
"ENSG00000114315",7,2,33,37
"ENSG00000114383",20,13,28,21
"ENSG00000114631",0,0,299,246
"ENSG00000114646",0,0,16,18
"ENSG00000114739",8,8,54,38
"ENSG00000114767",95,79,118,110
"ENSG00000114784",22,22,34,26
"ENSG00000114850",19,12,15,23
"ENSG00000114853",0,0,44,40
"ENSG00000114902",29,22,57,38
"ENSG00000114956",46,54,33,32
"ENSG00000115073",12,16,30,34
"ENSG00000115107",0,0,100,103
"ENSG00000115128",42,58,70,105
"ENSG00000115163",20,29,12,13
"ENSG00000115226",0,0,14,13
"ENSG00000115255",6,6,19,11
"ENSG00000115257",8,6,26,12
"ENSG00000115266",42,41,15,29
"ENSG00000115268",19,18,52,38
"ENSG00000115274",15,7,30,45
"ENSG00000115286",39,42,31,27
"ENSG00000115317",15,17,42,24
"ENSG00000115649",71,66,24,28
"ENSG00000115758",123,117,46,52
"ENSG00000115808",15,16,20,16
"ENSG00000115844",0,0,25,29
"ENSG00000115902",48,37,16,13
"ENSG00000115944",9,8,12,22
"ENSG00000115956",14,18,0,0
"ENSG00000116017",43,33,41,45
"ENSG00000116096",5,5,26,23
"ENSG00000116120",169,173,163,197
"ENSG00000116133",197,132,197,183
"ENSG00000116141",0,0,15,9
"ENSG00000116205",6,10,23,19
"ENSG00000116221",68,58,139,130
"ENSG00000116273",10,6,16,15
"ENSG00000116288",17,22,27,26
"ENSG00000116455",28,26,33,36
"ENSG00000116473",20,21,8,5
"ENSG00000116514",166,113,124,107
"ENSG00000116670",29,27,19,31
"ENSG00000116685",12,10,11,7
"ENSG00000116704",23,22,53,53
"ENSG00000116752",10,18,25,23
"ENSG00000116771",20,21,2,1
"ENSG00000116863",32,27,42,32
"ENSG00000116898",45,31,44,46
"ENSG00000116903",39,33,73,68
"ENSG00000116918",2,4,20,29
"ENSG00000116962",0,0,247,232
"ENSG00000117016",77,66,16,18
"ENSG00000117091",83,112,0,0
"ENSG00000117133",57,54,74,70
"ENSG00000117151",4,10,21,9
"ENSG00000117174",63,62,77,98
"ENSG00000117318",33,34,3,2
"ENSG00000117479",13,12,66,46
"ENSG00000117500",12,11,38,44
"ENSG00000117505",38,21,21,28
"ENSG00000117592",7,10,28,19
"ENSG00000117597",18,16,51,55
"ENSG00000117614",2,3,12,24
"ENSG00000117632",128,116,93,79
"ENSG00000117691",0,0,14,10
"ENSG00000117697",24,15,33,43
"ENSG00000117877",102,88,60,64
"ENSG00000117899",18,24,38,26
"ENSG00000117906",70,57,273,288
"ENSG00000118046",166,177,228,205
"ENSG00000118096",19,15,60,57
"ENSG00000118162",20,29,32,24
"ENSG00000118181",433,313,580,1137
"ENSG00000118193",99,84,124,121
"ENSG00000118217",4,4,26,20
"ENSG00000118276",4,8,42,35
"ENSG00000118308",1198,1294,0,0
"ENSG00000118369",11,6,31,21
"ENSG00000118402",0,0,53,45
"ENSG00000118412",6,13,24,21
"ENSG00000118418",20,25,17,11
"ENSG00000118432",30,37,0,0
"ENSG00000118496",64,77,75,62
"ENSG00000118513",27,30,2,3
"ENSG00000118596",15,13,1,2
"ENSG00000118600",21,19,41,33
"ENSG00000118640",131,89,6,11
"ENSG00000118655",55,50,82,67
"ENSG00000118680",14,17,9,6
"ENSG00000118707",84,53,56,58
"ENSG00000118900",326,219,243,198
"ENSG00000118939",66,76,39,45
"ENSG00000118971",2,0,80,58
"ENSG00000119138",0,0,79,67
"ENSG00000119242",4,11,83,64
"ENSG00000119392",36,39,81,65
"ENSG00000119396",22,19,35,25
"ENSG00000119401",1,0,21,17
"ENSG00000119408",2,2,17,8
"ENSG00000119411",31,30,4,8
"ENSG00000119414",18,22,28,19
"ENSG00000119421",74,48,68,80
"ENSG00000119431",6,13,16,20
"ENSG00000119446",4,13,12,15
"ENSG00000119471",7,3,20,27
"ENSG00000119523",21,29,61,56
"ENSG00000119537",10,15,73,57
