"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"2393",9.99999999143261e-11,9.99999999143261e-11,9.99999999143261e-11,9.99999999143261e-11,0.857664693821009,9.99999999143261e-11,0.00779397908234594,9.99999999143261e-11,9.99999999143261e-11,9.99999999143261e-11,0.133574920392777,0.000963417676235582,2.98812763255317e-06,9.99999999143261e-11
"2394",9.99999999500076e-11,9.99999999500076e-11,9.99999999500076e-11,9.99999999500076e-11,3.32148386421857e-08,1.23688007840107e-07,9.99999999500076e-11,0.00582730504152393,0.512889444521173,0.281242425517085,1.60348371492355e-05,0.00121659479101998,0.0174678840376862,0.181340153851516
"2395",4.51450424607128e-08,9.99999999600699e-11,0.0820331463894505,9.99999999600699e-11,0.172967287199993,9.99999999600699e-11,0.695677660902946,9.99999999600699e-11,2.10075094023906e-06,1.03698983142704e-08,0.0408901299336119,0.00689321714582816,0.00145025788030529,8.61438819841191e-05
"2396",9.999999994e-11,9.999999994e-11,9.999999994e-11,9.999999994e-11,0.00019784817098053,9.999999994e-11,1.05695831381827e-10,9.999999994e-11,0.000467672296056527,3.07620777693041e-08,0.038172009249157,0.376955120386585,0.514632597033864,0.0695747213955834
"2397",9.9999999922565e-11,9.9999999922565e-11,9.9999999922565e-11,9.9999999922565e-11,0.000255146347502064,9.9999999922565e-11,9.9999999922565e-11,9.9999999922565e-11,7.44119962567026e-06,9.9999999922565e-11,0.0731567454620862,0.53520574720274,0.379840385678071,0.0115345333099751
"2398",9.999999995e-11,9.999999995e-11,9.999999995e-11,9.999999995e-11,4.65561558713062e-05,9.999999995e-11,5.2912895796585e-10,4.12019622153009e-08,0.0964030984510505,0.00158353055355498,0.00565671918074113,0.0943370449561012,0.353482589543579,0.448490418928011
"2399",9.99999998800001e-11,0.999798214474562,9.99999998800001e-11,0.000201784325438247,9.99999998800001e-11,9.99999998800001e-11,9.99999998800001e-11,9.99999998800001e-11,9.99999998800001e-11,9.99999998800001e-11,9.99999998800001e-11,9.99999998800001e-11,9.99999998800001e-11,9.99999998800001e-11
"2400",9.99999999400033e-11,9.99999999400033e-11,9.99999999400033e-11,9.99999999400033e-11,9.99999999400033e-11,2.76312137080672e-09,9.99999999400033e-11,0.00631699131099152,0.410534473253018,0.552944230001337,1.37826858855113e-09,2.80199026247183e-06,0.000317512897260628,0.0298839858057397
"2401",9.99999999374137e-11,9.99999999374137e-11,0.0678256713425393,9.99999999374137e-11,0.0595193321372608,9.99999999374137e-11,0.868651365727042,9.99999999374137e-11,9.99999999374137e-11,9.99999999374137e-11,0.00385274468226401,0.000143304032540988,7.53310780251569e-06,4.8270549954295e-08
"2402",9.99999999200000e-11,9.99999999200000e-11,9.99999999200000e-11,9.99999999200000e-11,4.27526959977671e-08,9.99999999200000e-11,9.99999999200000e-11,9.99999999200000e-11,2.20143869620046e-07,9.99999999200000e-11,0.00304538480339163,0.379939810728193,0.608576857289837,0.00843768348201283
